productName,productLine,warehouseCode,totalOrdered,quantityInStock
"1992 Ferrari 360 Spider red","Classic Cars",b,1808,8347
"1937 Lincoln Berline","Vintage Cars",c,1111,8693
"American Airlines: MD-11S",Planes,a,1085,8820
"1941 Chevrolet Special Deluxe Cabriolet","Vintage Cars",c,1076,2378
"1930 Buick Marquette Phaeton","Vintage Cars",c,1074,7062
"1940s Ford truck","Trucks and Buses",d,1061,3128
"1969 Harley Davidson Ultimate Chopper",Motorcycles,a,1057,7933
"1957 Chevy Pickup","Trucks and Buses",d,1056,6125
"1964 Mercedes Tour Bus","Trucks and Buses",d,1053,8258
"1956 Porsche 356A Coupe","Classic Cars",b,1052,6600
"Corsair F4U ( Bird Cage)",Planes,a,1051,6812
"F/A 18 Hornet 1/72",Planes,a,1047,551
"1980s Black Hawk Helicopter",Planes,a,1040,5330
"1913 Ford Model T Speedster","Vintage Cars",c,1038,4189
"1997 BMW R 1100 S",Motorcycles,a,1033,7003
"1972 Alfa Romeo GTA","Classic Cars",b,1030,3252
"1962 Volkswagen Microbus","Trucks and Buses",d,1029,2327
"2002 Suzuki XREO",Motorcycles,a,1028,9997
"The USS Constitution Ship",Ships,d,1020,7083
"2001 Ferrari Enzo","Classic Cars",b,1019,3619
"1960 BSA Gold Star DBD34",Motorcycles,a,1015,15
"1997 BMW F650 ST",Motorcycles,a,1014,178
"1957 Corvette Convertible","Classic Cars",b,1013,1249
"18th century schooner",Ships,d,1011,1898
"1900s Vintage Tri-Plane",Planes,a,1009,2756
"1996 Moto Guzzi 1100i",Motorcycles,a,999,6625
"1940 Ford Pickup Truck","Trucks and Buses",d,999,2613
"1926 Ford Fire Engine","Trucks and Buses",d,998,2018
"1982 Camaro Z28","Classic Cars",b,997,6934
"1939 Cadillac Limousine","Vintage Cars",c,995,6645
"1969 Dodge Charger","Classic Cars",b,992,7323
"1917 Maxwell Touring Car","Vintage Cars",c,992,7913
"2002 Yamaha YZR M1",Motorcycles,a,992,600
"1912 Ford Model T Delivery Wagon","Vintage Cars",c,991,9173
"1904 Buick Runabout","Vintage Cars",c,990,8290
"1996 Peterbilt 379 Stake Bed with Outrigger","Trucks and Buses",d,988,814
"1998 Chrysler Plymouth Prowler","Classic Cars",b,986,4724
